function_code,combinedName,category,question,answer,edit_functions
"@pytest.fixture(params=['long', 'wide'])
def ols_ridge_dataset(global_random_seed, request):
    """"""Dataset with OLS and Ridge solutions, well conditioned X.

    The construction is based on the SVD decomposition of X = U S V'.

    Parameters
    ----------
    type : {""long"", ""wide""}
        If ""long"", then n_samples > n_features.
        If ""wide"", then n_features > n_samples.

    For ""wide"", we return the minimum norm solution w = X' (XX')^-1 y:

        min ||w||_2 subject to X w = y

    Returns
    -------
    X : ndarray
        Last column of 1, i.e. intercept.
    y : ndarray
    coef_ols : ndarray of shape
        Minimum norm OLS solutions, i.e. min ||X w - y||_2_2 (with minimum ||w||_2 in
        case of ambiguity)
        Last coefficient is intercept.
    coef_ridge : ndarray of shape (5,)
        Ridge solution with alpha=1, i.e. min ||X w - y||_2_2 + ||w||_2^2.
        Last coefficient is intercept.
    """"""
    if request.param == 'long':
        n_samples, n_features = (12, 4)
    else:
        n_samples, n_features = (4, 12)
    k = min(n_samples, n_features)
    rng = np.random.RandomState(global_random_seed)
    X = make_low_rank_matrix(n_samples=n_samples, n_features=n_features, effective_rank=k, random_state=rng)
    X[:, -1] = 1
    U, s, Vt = linalg.svd(X)
    assert np.all(s > 0.001)
    U1, U2 = (U[:, :k], U[:, k:])
    Vt1, _ = (Vt[:k, :], Vt[k:, :])
    if request.param == 'long':
        coef_ols = rng.uniform(low=-10, high=10, size=n_features)
        y = X @ coef_ols
        y += U2 @ rng.normal(size=n_samples - n_features) ** 2
    else:
        y = rng.uniform(low=-10, high=10, size=n_samples)
        coef_ols = Vt1.T @ np.diag(1 / s) @ U1.T @ y
    alpha = 1
    d = alpha * np.identity(n_features)
    d[-1, -1] = 0
    coef_ridge = linalg.solve(X.T @ X + d, X.T @ y)
    R_OLS = y - X @ coef_ols
    R_Ridge = y - X @ coef_ridge
    assert np.linalg.norm(R_OLS) < np.linalg.norm(R_Ridge)
    return (X, y, coef_ols, coef_ridge)",ols_ridge_dataset,general,How does the ols_ridge_dataset function determine the values of X and y?,"The ols_ridge_dataset function determines the values of X and y based on the SVD decomposition of X = U S V', and.",ols_ridge_dataset
"def test_features_names_passthrough():
    """"""Check pipeline.get_feature_names_out with passthrough""""""
    pipe = Pipeline(steps=[('names', FeatureNameSaver()), ('pass', 'passthrough'), ('clf', LogisticRegression())])
    iris = load_iris()
    pipe.fit(iris.data, iris.target)
    assert_array_equal(pipe[:-1].get_feature_names_out(iris.feature_names), iris.feature_names)",test_features_names_passthrough,general,What does the test_features_names_passthrough function fit?,The test_features_names_passthrough function fits the pipeline with the iris dataset and its target values..  (Note: You can adjust the answer based on the function code).,test_features_names_passthrough
"def __init__(self, n_splits=5, *, shuffle=False, random_state=None):
    super().__init__(n_splits=n_splits, shuffle=shuffle, random_state=random_state)",StratifiedKFold.__init__,general,What is the purpose of the `__init__` function in this code?,.,StratifiedKFold.__init__
"def test_cached_unique_returns_cached_unique():
    my_dtype = np.dtype(np.float64, metadata={'unique': np.array([1, 2])})
    arr = np.array([1, 2, 2, 3, 4, 4, 5], dtype=my_dtype)
    assert_array_equal(cached_unique(arr), np.array([1, 2]))",test_cached_unique_returns_cached_unique,general,What is the purpose of the test_cached_unique_returns_cached_unique function?,This function tests whether the cached_unique function returns the correct unique values when given an array with duplicates..,test_cached_unique_returns_cached_unique
"def c_step(X, n_support, remaining_iterations=30, initial_estimates=None, verbose=False, cov_computation_method=empirical_covariance, random_state=None):
    """"""C_step procedure described in [Rouseeuw1984]_ aiming at computing MCD.

    Parameters
    ----------
    X : array-like of shape (n_samples, n_features)
        Data set in which we look for the n_support observations whose
        scatter matrix has minimum determinant.

    n_support : int
        Number of observations to compute the robust estimates of location
        and covariance from. This parameter must be greater than
        `n_samples / 2`.

    remaining_iterations : int, default=30
        Number of iterations to perform.
        According to [Rouseeuw1999]_, two iterations are sufficient to get
        close to the minimum, and we never need more than 30 to reach
        convergence.

    initial_estimates : tuple of shape (2,), default=None
        Initial estimates of location and shape from which to run the c_step
        procedure:
        - initial_estimates[0]: an initial location estimate
        - initial_estimates[1]: an initial covariance estimate

    verbose : bool, default=False
        Verbose mode.

    cov_computation_method : callable,             default=:func:`sklearn.covariance.empirical_covariance`
        The function which will be used to compute the covariance.
        Must return array of shape (n_features, n_features).

    random_state : int, RandomState instance or None, default=None
        Determines the pseudo random number generator for shuffling the data.
        Pass an int for reproducible results across multiple function calls.
        See :term:`Glossary <random_state>`.

    Returns
    -------
    location : ndarray of shape (n_features,)
        Robust location estimates.

    covariance : ndarray of shape (n_features, n_features)
        Robust covariance estimates.

    support : ndarray of shape (n_samples,)
        A mask for the `n_support` observations whose scatter matrix has
        minimum determinant.

    References
    ----------
    .. [Rouseeuw1999] A Fast Algorithm for the Minimum Covariance Determinant
        Estimator, 1999, American Statistical Association and the American
        Society for Quality, TECHNOMETRICS
    """"""
    X = np.asarray(X)
    random_state = check_random_state(random_state)
    return _c_step(X, n_support, remaining_iterations=remaining_iterations, initial_estimates=initial_estimates, verbose=verbose, cov_computation_method=cov_computation_method, random_state=random_state)",c_step,general,What is the purpose of the c_step function in Python?,"It aims at computing the Minimum Covariance Determinant (MCD) estimator, a robust method for estimating location and covariance from a given dataset..",c_step
"def _record_output_indices(self, Xs):
    """"""
        Record which transformer produced which column.
        """"""
    idx = 0
    self.output_indices_ = {}
    for transformer_idx, (name, _, _, _) in enumerate(self._iter(fitted=True, column_as_labels=False, skip_drop=True, skip_empty_columns=True)):
        n_columns = Xs[transformer_idx].shape[1]
        self.output_indices_[name] = slice(idx, idx + n_columns)
        idx += n_columns
    all_names = [t[0] for t in self.transformers] + ['remainder']
    for name in all_names:
        if name not in self.output_indices_:
            self.output_indices_[name] = slice(0, 0)",ColumnTransformer._record_output_indices,general,What is the purpose of the _record_output_indices function in the transformer?,It records which transformer produced which column in the output data..,ColumnTransformer._record_output_indices
"def pad(x: Array, pad_width: int | tuple[int, int] | Sequence[tuple[int, int]], *, constant_values: complex=0, xp: ModuleType) -> Array:
    """"""See docstring in `array_api_extra._delegation.py`.""""""
    if isinstance(pad_width, int):
        pad_width_seq = [(pad_width, pad_width)] * x.ndim
    elif isinstance(pad_width, tuple) and len(pad_width) == 2 and all((isinstance(i, int) for i in pad_width)):
        pad_width_seq = [cast(tuple[int, int], pad_width)] * x.ndim
    else:
        pad_width_seq = cast(list[tuple[int, int]], list(pad_width))
    slices: list[slice] = []
    newshape: list[int] = []
    for ax, w_tpl in enumerate(pad_width_seq):
        if len(w_tpl) != 2:
            msg = f'expect a 2-tuple (before, after), got {w_tpl}.'
            raise ValueError(msg)
        sh = eager_shape(x)[ax]
        if w_tpl[0] == 0 and w_tpl[1] == 0:
            sl = slice(None, None, None)
        else:
            start, stop = w_tpl
            stop = None if stop == 0 else -stop
            sl = slice(start, stop, None)
            sh += w_tpl[0] + w_tpl[1]
        newshape.append(sh)
        slices.append(sl)
    padded = xp.full(tuple(newshape), fill_value=constant_values, dtype=x.dtype, device=_compat.device(x))
    return at(padded, tuple(slices)).set(x)",pad,general,Not applicable?,Not enough information.,pad
"@pytest.mark.parametrize('X, n_components, n_components_validated', [(iris.data, 0.95, 2), (iris.data, 0.01, 1), (np.random.RandomState(0).rand(5, 20), 0.5, 2)])
def test_infer_dim_by_explained_variance(X, n_components, n_components_validated):
    pca = PCA(n_components=n_components, svd_solver='full')
    pca.fit(X)
    assert pca.n_components == pytest.approx(n_components)
    assert pca.n_components_ == n_components_validated",test_infer_dim_by_explained_variance,general,"What does the function ""test_infer_dim_by_explained_variance"" do?",It tests the PCA (Principal Component Analysis) function to infer the optimal number of components based on the explained variance ratio and validates the result by comparing it with the input number of components..,test_infer_dim_by_explained_variance
"@validate_params({'shape': [tuple], 'n_clusters': [Interval(Integral, 1, None, closed='left'), 'array-like'], 'noise': [Interval(Real, 0, None, closed='left')], 'minval': [Interval(Real, None, None, closed='neither')], 'maxval': [Interval(Real, None, None, closed='neither')], 'shuffle': ['boolean'], 'random_state': ['random_state']}, prefer_skip_nested_validation=True)
def make_checkerboard(shape, n_clusters, *, noise=0.0, minval=10, maxval=100, shuffle=True, random_state=None):
    """"""Generate an array with block checkerboard structure for biclustering.

    Read more in the :ref:`User Guide <sample_generators>`.

    Parameters
    ----------
    shape : tuple of shape (n_rows, n_cols)
        The shape of the result.

    n_clusters : int or array-like or shape (n_row_clusters, n_column_clusters)
        The number of row and column clusters.

    noise : float, default=0.0
        The standard deviation of the gaussian noise.

    minval : float, default=10
        Minimum value of a bicluster.

    maxval : float, default=100
        Maximum value of a bicluster.

    shuffle : bool, default=True
        Shuffle the samples.

    random_state : int, RandomState instance or None, default=None
        Determines random number generation for dataset creation. Pass an int
        for reproducible output across multiple function calls.
        See :term:`Glossary <random_state>`.

    Returns
    -------
    X : ndarray of shape `shape`
        The generated array.

    rows : ndarray of shape (n_clusters, X.shape[0])
        The indicators for cluster membership of each row.

    cols : ndarray of shape (n_clusters, X.shape[1])
        The indicators for cluster membership of each column.

    See Also
    --------
    make_biclusters : Generate an array with constant block diagonal structure
        for biclustering.

    References
    ----------
    .. [1] Kluger, Y., Basri, R., Chang, J. T., & Gerstein, M. (2003).
        Spectral biclustering of microarray data: coclustering genes
        and conditions. Genome research, 13(4), 703-716.

    Examples
    --------
    >>> from sklearn.datasets import make_checkerboard
    >>> data, rows, columns = make_checkerboard(shape=(300, 300), n_clusters=10,
    ...                                         random_state=42)
    >>> data.shape
    (300, 300)
    >>> rows.shape
    (100, 300)
    >>> columns.shape
    (100, 300)
    >>> print(rows[0][:5], columns[0][:5])
    [False False False  True False] [False False False False False]
    """"""
    generator = check_random_state(random_state)
    if hasattr(n_clusters, '__len__'):
        n_row_clusters, n_col_clusters = n_clusters
    else:
        n_row_clusters = n_col_clusters = n_clusters
    n_rows, n_cols = shape
    row_sizes = generator.multinomial(n_rows, np.repeat(1.0 / n_row_clusters, n_row_clusters))
    col_sizes = generator.multinomial(n_cols, np.repeat(1.0 / n_col_clusters, n_col_clusters))
    row_labels = np.hstack([np.repeat(val, rep) for val, rep in zip(range(n_row_clusters), row_sizes)])
    col_labels = np.hstack([np.repeat(val, rep) for val, rep in zip(range(n_col_clusters), col_sizes)])
    result = np.zeros(shape, dtype=np.float64)
    for i in range(n_row_clusters):
        for j in range(n_col_clusters):
            selector = np.outer(row_labels == i, col_labels == j)
            result[selector] += generator.uniform(minval, maxval)
    if noise > 0:
        result += generator.normal(scale=noise, size=result.shape)
    if shuffle:
        result, row_idx, col_idx = _shuffle(result, random_state)
        row_labels = row_labels[row_idx]
        col_labels = col_labels[col_idx]
    rows = np.vstack([row_labels == label for label in range(n_row_clusters) for _ in range(n_col_clusters)])
    cols = np.vstack([col_labels == label for _ in range(n_row_clusters) for label in range(n_col_clusters)])
    return (result, rows, cols)",make_checkerboard,general,Not applicable?,Not enough information.,make_checkerboard
"@pytest.mark.parametrize('n_bins', [3, 32, 256])
def test_histogram_split(n_bins):
    rng = np.random.RandomState(42)
    feature_idx = 0
    l2_regularization = 0
    min_hessian_to_split = 0.001
    min_samples_leaf = 1
    min_gain_to_split = 0.0
    X_binned = np.asfortranarray(rng.randint(0, n_bins - 1, size=(int(10000.0), 1)), dtype=X_BINNED_DTYPE)
    binned_feature = X_binned.T[feature_idx]
    sample_indices = np.arange(binned_feature.shape[0], dtype=np.uint32)
    ordered_hessians = np.ones_like(binned_feature, dtype=G_H_DTYPE)
    all_hessians = ordered_hessians
    sum_hessians = all_hessians.sum()
    hessians_are_constant = False
    for true_bin in range(1, n_bins - 2):
        for sign in [-1, 1]:
            ordered_gradients = np.full_like(binned_feature, sign, dtype=G_H_DTYPE)
            ordered_gradients[binned_feature <= true_bin] *= -1
            all_gradients = ordered_gradients
            sum_gradients = all_gradients.sum()
            builder = HistogramBuilder(X_binned, n_bins, all_gradients, all_hessians, hessians_are_constant, n_threads)
            n_bins_non_missing = np.array([n_bins - 1] * X_binned.shape[1], dtype=np.uint32)
            has_missing_values = np.array([False] * X_binned.shape[1], dtype=np.uint8)
            monotonic_cst = np.array([MonotonicConstraint.NO_CST] * X_binned.shape[1], dtype=np.int8)
            is_categorical = np.zeros_like(monotonic_cst, dtype=np.uint8)
            missing_values_bin_idx = n_bins - 1
            splitter = Splitter(X_binned, n_bins_non_missing, missing_values_bin_idx, has_missing_values, is_categorical, monotonic_cst, l2_regularization, min_hessian_to_split, min_samples_leaf, min_gain_to_split, hessians_are_constant)
            histograms = builder.compute_histograms_brute(sample_indices)
            value = compute_node_value(sum_gradients, sum_hessians, -np.inf, np.inf, l2_regularization)
            split_info = splitter.find_node_split(sample_indices.shape[0], histograms, sum_gradients, sum_hessians, value)
            assert split_info.bin_idx == true_bin
            assert split_info.gain >= 0
            assert split_info.feature_idx == feature_idx
            assert split_info.n_samples_left + split_info.n_samples_right == sample_indices.shape[0]
            assert split_info.n_samples_left == split_info.sum_hessian_left",test_histogram_split,general,<your question?>?,<your answer.>.,test_histogram_split
"def _radius_neighbors_from_graph(graph, radius, return_distance):
    """"""Decompose a nearest neighbors sparse graph into distances and indices.

    Parameters
    ----------
    graph : sparse matrix of shape (n_samples, n_samples)
        Neighbors graph as given by `kneighbors_graph` or
        `radius_neighbors_graph`. Matrix should be of format CSR format.

    radius : float
        Radius of neighborhoods which should be strictly positive.

    return_distance : bool
        Whether or not to return the distances.

    Returns
    -------
    neigh_dist : ndarray of shape (n_samples,) of arrays
        Distances to nearest neighbors. Only present if `return_distance=True`.

    neigh_ind : ndarray of shape (n_samples,) of arrays
        Indices of nearest neighbors.
    """"""
    assert graph.format == 'csr'
    no_filter_needed = bool(graph.data.max() <= radius)
    if no_filter_needed:
        data, indices, indptr = (graph.data, graph.indices, graph.indptr)
    else:
        mask = graph.data <= radius
        if return_distance:
            data = np.compress(mask, graph.data)
        indices = np.compress(mask, graph.indices)
        indptr = np.concatenate(([0], np.cumsum(mask)))[graph.indptr]
    indices = indices.astype(np.intp, copy=no_filter_needed)
    if return_distance:
        neigh_dist = _to_object_array(np.split(data, indptr[1:-1]))
    neigh_ind = _to_object_array(np.split(indices, indptr[1:-1]))
    if return_distance:
        return (neigh_dist, neigh_ind)
    else:
        return neigh_ind",_radius_neighbors_from_graph,general,What is the purpose of the _radius_neighbors_from_graph function?,"This function decomposes a nearest neighbors sparse graph into distances and indices, allowing for the extraction of neighborhoods within a specified radius..",_radius_neighbors_from_graph
"def test_input_error_related_to_feature_names():
    pd = pytest.importorskip('pandas')
    X = pd.DataFrame({'a': [0, 1, 2], 'b': [0, 1, 2]})
    y = np.array([0, 1, 0])
    monotonic_cst = {'d': 1, 'a': 1, 'c': -1}
    gbdt = HistGradientBoostingRegressor(monotonic_cst=monotonic_cst)
    expected_msg = re.escape(""monotonic_cst contains 2 unexpected feature names: ['c', 'd']."")
    with pytest.raises(ValueError, match=expected_msg):
        gbdt.fit(X, y)
    monotonic_cst = {k: 1 for k in 'abcdefghijklmnopqrstuvwxyz'}
    gbdt = HistGradientBoostingRegressor(monotonic_cst=monotonic_cst)
    expected_msg = re.escape(""monotonic_cst contains 24 unexpected feature names: ['c', 'd', 'e', 'f', 'g', '...']."")
    with pytest.raises(ValueError, match=expected_msg):
        gbdt.fit(X, y)
    monotonic_cst = {'a': 1}
    gbdt = HistGradientBoostingRegressor(monotonic_cst=monotonic_cst)
    expected_msg = re.escape('HistGradientBoostingRegressor was not fitted on data with feature names. Pass monotonic_cst as an integer array instead.')
    with pytest.raises(ValueError, match=expected_msg):
        gbdt.fit(X.values, y)
    monotonic_cst = {'b': -1, 'a': '+'}
    gbdt = HistGradientBoostingRegressor(monotonic_cst=monotonic_cst)
    expected_msg = re.escape(""monotonic_cst['a'] must be either -1, 0 or 1. Got '+'."")
    with pytest.raises(ValueError, match=expected_msg):
        gbdt.fit(X, y)",test_input_error_related_to_feature_names,general,What does the `test_input_error_related_to_feature_names` function do?,"This function tests input errors related to feature names in the HistGradientBoostingRegressor class, specifically checking for unexpected feature names, invalid monotonic constraints, and incorrect feature name ordering during the fitting process..",test_input_error_related_to_feature_names
"def test_incremental_pca_against_pca_iris():
    X = iris.data
    Y_pca = PCA(n_components=2).fit_transform(X)
    Y_ipca = IncrementalPCA(n_components=2, batch_size=25).fit_transform(X)
    assert_almost_equal(np.abs(Y_pca), np.abs(Y_ipca), 1)",test_incremental_pca_against_pca_iris,general,What is the purpose of the test_incremental_pca_against_pca_iris function?,"The purpose of the test_incremental_pca_against_pca_iris function is to compare the results of incremental PCA (IPCA) and traditional PCA on the iris dataset, with a batch size of 25 for IPCA, and check if the results are similar up to a certain tolerance (1 in this case)..",test_incremental_pca_against_pca_iris
"@pytest.mark.parametrize('sample_weight', [[1.0] * N_SAMPLES, np.ones(N_SAMPLES)])
def test_calibration_with_sample_weight_estimator(sample_weight, data):
    """"""Tests that sample_weight is passed to the underlying base
    estimator.
    """"""
    X, y = data
    clf = CheckingClassifier(expected_sample_weight=True)
    pc_clf = CalibratedClassifierCV(clf)
    pc_clf.fit(X, y, sample_weight=sample_weight)",test_calibration_with_sample_weight_estimator,general,What is the purpose of the `test_calibration_with_sample_weight_estimator` function?,It tests that sample_weight is passed to the underlying base estimator..,test_calibration_with_sample_weight_estimator
"@pytest.mark.parametrize('klass', [SGDClassifier, SparseSGDClassifier])
@pytest.mark.parametrize('lr', ['constant', 'optimal', 'invscaling', 'adaptive'])
def test_partial_fit_equal_fit_classif(klass, lr):
    for X_, Y_, T_ in ((X, Y, T), (X2, Y2, T2)):
        clf = klass(alpha=0.01, eta0=0.01, max_iter=2, learning_rate=lr, shuffle=False)
        clf.fit(X_, Y_)
        y_pred = clf.decision_function(T_)
        t = clf.t_
        classes = np.unique(Y_)
        clf = klass(alpha=0.01, eta0=0.01, learning_rate=lr, shuffle=False)
        for i in range(2):
            clf.partial_fit(X_, Y_, classes=classes)
        y_pred2 = clf.decision_function(T_)
        assert clf.t_ == t
        assert_array_almost_equal(y_pred, y_pred2, decimal=2)",test_partial_fit_equal_fit_classif,general,What type of classifier does this function support?,This function supports both SGDClassifier and SparseSGDClassifier..,test_partial_fit_equal_fit_classif
"def test_bic_1d_1component():
    rng = np.random.RandomState(0)
    n_samples, n_dim, n_components = (100, 1, 1)
    X = rng.randn(n_samples, n_dim)
    bic_full = GaussianMixture(n_components=n_components, covariance_type='full', random_state=rng).fit(X).bic(X)
    for covariance_type in ['tied', 'diag', 'spherical']:
        bic = GaussianMixture(n_components=n_components, covariance_type=covariance_type, random_state=rng).fit(X).bic(X)
        assert_almost_equal(bic_full, bic)",test_bic_1d_1component,general,What is the purpose of the test_bic_1d_1component function?,It verifies that the Bayesian Information Criterion (BIC) values for a Gaussian Mixture model with different covariance types are equal in a 1D dataset with 1 component..,test_bic_1d_1component
"@pytest.mark.parametrize('base_loss', LOSSES)
@pytest.mark.parametrize('fit_intercept', [False, True])
@pytest.mark.parametrize('n_features', [0, 1, 10])
@pytest.mark.parametrize('dtype', [None, np.float32, np.float64, np.int64])
def test_init_zero_coef(base_loss, fit_intercept, n_features, dtype, global_random_seed):
    """"""Test that init_zero_coef initializes coef correctly.""""""
    loss = LinearModelLoss(base_loss=base_loss(), fit_intercept=fit_intercept)
    rng = np.random.RandomState(global_random_seed)
    X = rng.normal(size=(5, n_features))
    coef = loss.init_zero_coef(X, dtype=dtype)
    if loss.base_loss.is_multiclass:
        n_classes = loss.base_loss.n_classes
        assert coef.shape == (n_classes, n_features + fit_intercept)
        assert coef.flags['F_CONTIGUOUS']
    else:
        assert coef.shape == (n_features + fit_intercept,)
    if dtype is None:
        assert coef.dtype == X.dtype
    else:
        assert coef.dtype == dtype
    assert np.count_nonzero(coef) == 0",test_init_zero_coef,general,What does the `init_zero_coef` function do?,It initializes the coefficients of a linear model to zero..,test_init_zero_coef
"@pytest.mark.parametrize('klass', [SGDRegressor, SparseSGDRegressor])
def test_sgd_averaged_partial_fit(klass):
    eta = 0.001
    alpha = 0.01
    n_samples = 20
    n_features = 10
    rng = np.random.RandomState(0)
    X = rng.normal(size=(n_samples, n_features))
    w = rng.normal(size=n_features)
    y = np.dot(X, w)
    clf = klass(loss='squared_error', learning_rate='constant', eta0=eta, alpha=alpha, fit_intercept=True, max_iter=1, average=True, shuffle=False)
    clf.partial_fit(X[:int(n_samples / 2)][:], y[:int(n_samples / 2)])
    clf.partial_fit(X[int(n_samples / 2):][:], y[int(n_samples / 2):])
    average_weights, average_intercept = asgd(klass, X, y, eta, alpha)
    assert_array_almost_equal(clf.coef_, average_weights, decimal=16)
    assert_almost_equal(clf.intercept_[0], average_intercept, decimal=16)",test_sgd_averaged_partial_fit,general,What is the purpose of the test_sgd_averaged_partial_fit function?,"This function tests the correctness of the partial_fit method for SGDRegressor and SparseSGDRegressor classes with averaging enabled, comparing the weights and intercept computed by the function with the ones computed by the average_weights and average_intercept functions..",test_sgd_averaged_partial_fit
"def test_check_increasing_up():
    x = [0, 1, 2, 3, 4, 5]
    y = [0, 1.5, 2.77, 8.99, 8.99, 50]
    with warnings.catch_warnings():
        warnings.simplefilter('error', UserWarning)
        is_increasing = check_increasing(x, y)
    assert is_increasing",test_check_increasing_up,general,What is the purpose of the `check_increasing` function?,"The purpose of the `check_increasing` function is to check if a given set of data is increasing or not, based on the provided input arrays `x` and `y`..",test_check_increasing_up
"def test_linearsvr():
    diabetes = datasets.load_diabetes()
    lsvr = svm.LinearSVR(C=1000.0).fit(diabetes.data, diabetes.target)
    score1 = lsvr.score(diabetes.data, diabetes.target)
    svr = svm.SVR(kernel='linear', C=1000.0).fit(diabetes.data, diabetes.target)
    score2 = svr.score(diabetes.data, diabetes.target)
    assert_allclose(np.linalg.norm(lsvr.coef_), np.linalg.norm(svr.coef_), 1, 0.0001)
    assert_almost_equal(score1, score2, 2)",test_linearsvr,general,What is the purpose of the test_linearsvr function?,"This function tests the performance of Linear Support Vector Regression (SVR) and compares it to the standard SVR model with a linear kernel, using the diabetes dataset, and verifies that the coefficients and scores are similar..  # Do not forget the dot at the end!.",test_linearsvr
